,Item_Outlet_Sales
0,1731.696262915594
1,1542.0625443144554
2,2211.639794376855
3,2684.8663101012867
4,4000.452740424372
5,1811.8236472258347
6,600.0536875477493
7,1843.347295182609
8,1525.8340722579974
9,3250.559072928555
10,1879.3954924189788
11,1236.3773473710035
12,3981.7684402304762
13,2230.1239182831987
14,991.1188970416239
15,2543.3520166863264
16,3186.3544159226894
17,2897.1165523723907
18,2093.5276920708297
19,386.7183757362828
20,2683.630877742012
21,3712.622202719907
22,921.2219966829041
23,2382.6418757810548
24,2979.033488210703
25,1818.6679577275754
26,1005.1845790522842
27,2616.463910773866
28,3841.7011400878973
29,2063.1268185662993
30,1026.3724344973086
31,2943.5306950123545
32,406.5442808960524
33,3417.3090326826987
34,2722.17762925925
35,3704.870064436767
36,1773.450394823889
37,272.275883282982
38,3293.261276383971
39,2132.8040200696028
40,1291.658848067124
41,340.8306211381526
42,2704.5750452593516
43,2461.406330802885
44,1403.726002528775
45,1721.3100654576447
46,-1798.912993838526
47,3165.313746660672
48,3851.930103039263
49,1977.1613474251533
50,940.941966358993
51,1528.978844091568
52,2921.452939464188
53,1916.6689316459865
54,3533.6352943863603
55,3178.9416798723146
56,2911.761494254035
57,544.8158673539447
58,3787.04630850847
59,1433.204053995501
60,2737.13079883156
61,3083.4444317844227
62,2421.9182037798278
63,2362.039800953001
64,2506.110919423613
65,1697.757842327528
66,2734.5512005240266
67,3909.452358389728
68,2932.8292928424594
69,3712.9615943630374
70,3006.2019462703756
71,2093.5276920708297
72,1688.542585020571
73,3899.1183095374518
74,3979.7824755333654
75,2812.5944491452333
76,728.0804369890842
77,2310.651714500538
78,2835.9370064212553
79,2577.4756639658185
80,2638.452167461324
81,1595.4146050292104
82,1878.1411896356485
83,3165.913153031596
84,2986.171302851893
85,1862.8231790889752
86,3921.2053421688292
87,3801.3516924644914
88,614.7298311407878
89,789.3592008042828
90,2556.3413062024993
91,4090.966322192562
92,2093.5276920708297
93,1433.5261923381045
94,1908.6066095699828
95,938.7471885656735
96,2007.1825134141764
97,2297.9021162992663
98,3132.1478088380786
99,1330.0357009727634
100,2257.149679010691
101,1912.6631971855809
102,2886.039125167253
103,1993.8519358378664
104,3252.0390367938185
105,4424.307003009367
106,4364.914211141239
107,1058.0305726240329
108,1236.5724295617176
109,3737.948242898792
110,1041.0061126816427
111,2969.0864464070987
112,-247.65393626232844
113,3915.6831894563275
114,1549.923011608907
115,2132.8040200696028
116,940.941966358993
117,1415.281027240647
118,1831.5192692014493
119,1801.5410607510735
120,3248.179725721274
121,591.0200627221874
122,1733.674511232812
123,1425.9540835533007
124,3371.0718130515943
125,3512.567495797936
126,1990.7071640042957
127,396.9915071245305
128,1631.03925993287
129,1757.109460603591
130,2810.4107652668513
131,1957.4131000809155
132,1831.5192692014493
133,79.94466191690529
134,1241.2206021416225
135,2710.7716983473974
136,479.9837879604273
137,1241.2206021416225
138,533.9299149908995
139,2343.049556992633
140,1605.2975905003202
141,407.6746079099495
142,1705.960459764851
143,2066.6920365313163
144,1542.0625443144554
145,1905.4618377364122
146,2539.2768572462064
147,3336.8085877618632
148,1824.3814545602586
149,1318.2168814852794
150,1924.027484281671
151,3892.497784634684
152,1310.289248063711
153,4005.6486850164233
154,2354.805124755851
155,1885.6591157533317
156,637.8120745488862
157,808.8321575235856
158,1326.8909291391933
159,861.2038659995358
160,2411.809152158526
161,3293.261276383971
162,3868.833633692879
163,3059.600028175288
164,975.393227304237
165,117.8818508548184
166,1697.757842327528
167,2770.0989116471055
168,2568.0354016710853
169,1672.3879031520203
170,3098.05001781032
171,2715.1565458670716
172,128.90499433656086
173,-880.8974708003077
174,2448.7632754780166
175,3607.1748476748644
176,2101.045618188512
177,3217.5591533613274
178,992.2746434695499
179,4157.051572966711
180,1883.8909776773994
181,2859.7632993086677
182,3936.6379115659333
183,1106.0484767125047
184,148.49939977207592
185,1874.422662904078
186,3430.4149818551455
187,3934.918884467028
188,3863.653631123249
189,2803.046844331357
190,1725.8055507160652
191,3725.6318069249633
192,2343.049556992633
193,4090.966322192562
194,974.564006692338
195,2946.8747329706675
196,3135.712775090157
197,2990.030613924438
198,2780.3254066818695
199,1308.6641077137567
200,2221.140550049201
201,2064.146671068669
202,3259.2802166052247
203,2498.973104782423
204,1732.1931498198517
205,1504.062259631989
206,3929.7388818973977
207,1733.674511232812
208,3264.4890568757896
209,1804.685832584644
210,2089.032206812409
211,860.1663002327577
212,3127.860845539938
213,1338.0980230487671
214,3895.642556468255
215,2113.4956382704836
216,2028.8093286831247
217,4198.646334435313
218,2502.1178766159933
219,3874.5747578798305
220,2999.1392217009407
221,1870.464736277743
222,2759.257608093445
223,3025.447630850666
224,1967.3637087245215
225,1253.3284720807223
226,3689.6135862357287
227,2609.442827381688
228,4324.191595025027
229,1810.451470613025
230,4059.116552033947
231,906.809676670526
232,1634.6925625769518
233,1853.928619213654
234,950.4947401305151
235,1747.5552212334537
236,2152.7719662692566
237,1918.1367720821422
238,4157.051572966711
239,2551.0289918133158
240,-956.5900232966686
241,3442.861641567386
242,-664.3111124253901
243,1725.2061443451416
244,317.5256271043718
245,2016.7126759263358
246,892.3330459257102
247,617.0540660753271
248,-598.6057975838593
249,4718.347093881008
250,3779.046845137186
251,1144.0831137991606
252,1522.4747095912937
253,1803.3136559718344
254,3790.8160260309432
255,1863.6577825590318
256,3970.735702593692
257,2886.53060638347
258,971.5625387189397
259,780.9189019772148
260,3323.9985799929295
261,1995.074643475076
262,2181.5779070991225
263,2673.817575027907
264,3171.803865231124
265,2767.2300262046924
266,2658.075126347268
267,3264.4890568757896
268,1755.4063908867884
269,2876.977832611948
270,3259.8662310873638
271,1808.6788753922642
272,3027.911441209122
273,2539.87626361713
274,951.243162671927
275,1397.607546165908
276,2218.8831397529575
277,272.746996842674
278,1636.5405144896
279,1784.5648582958017
280,2072.4598934824053
281,2883.186568425157
282,2539.2768572462064
283,2467.659464189965
284,4198.646334435313
285,4054.771152934374
286,2411.4140952892362
287,1499.2173707663962
288,865.2494138626321
289,1002.8664486064654
290,492.4441588779942
291,1887.5161997221956
292,1757.109460603591
293,1843.347295182609
294,2801.285280115587
295,3128.154766030459
296,1898.324023095222
297,2676.1949559068366
298,1061.248744043378
299,479.9837879604273
300,2152.1302712597144
301,3038.543011327843
302,3606.908484234523
303,1800.8986968415024
304,1574.201057672038
305,2363.9937245099723
306,2934.3460340320244
307,1496.5810015994732
308,2873.319769725319
309,2934.3460340320244
310,1239.522119204574
311,3716.106366196608
312,1746.1231337670856
313,2272.9690918312576
314,1870.7955972002226
315,1144.0694674511105
316,3804.529568329142
317,2884.316895439054
318,3798.206920630921
319,1746.1231337670856
320,1738.8340775567847
321,1550.1648612078202
322,2849.837012006563
323,2965.9416745735284
324,3250.559072928555
325,2276.328750924747
326,-81.44780199777742
327,1983.569349363105
328,1077.2762572043232
329,230.78537285997976
330,3183.4613623335686
331,2873.704352220776
332,4336.7569324692095
333,47.265958245292865
334,1860.2914887096308
335,2023.8504905675263
336,1129.6479656802733
337,1441.0645212899526
338,2276.328750924747
339,3293.3780076329836
340,2873.6337946536346
341,650.5295858393279
342,2754.912208993872
343,3801.3516924644914
344,1791.2057860327347
345,2132.8040200696028
346,2665.2746208026642
347,4000.452740424372
348,2486.962082197629
349,1747.5552212334537
350,2874.0343089642934
351,899.4708605669005
352,801.5089702424183
353,650.5295858393279
354,2985.5314192070973
355,2707.4276603890844
356,3457.355473596107
357,948.0156385313649
358,2907.416095154462
359,2815.739220978804
360,990.8530052816532
361,1839.0371953191325
362,1581.3388723132286
363,865.7055163733834
364,230.78537285997976
365,1753.260948408276
366,1427.2534369475356
367,1456.7210847500694
368,2575.345036353929
369,2566.62389267726
370,3895.043150097331
371,2946.8747329706675
372,2317.9235123933495
373,2842.8800415841893
374,4058.020393492374
375,1725.8055507160652
376,4073.9952914451574
377,2183.6964168949453
378,2697.9616905784637
379,3172.0755393568334
380,1891.169716476368
381,2986.171302851893
382,1542.0625443144554
383,775.3967492647132
384,1661.422657605291
385,862.5999234562172
386,1619.2275744475537
387,2774.1444595102016
388,1995.074643475076
389,1441.0645212899526
390,3135.2925806716494
391,4080.1843506223736
392,1957.8335462123623
393,3051.3530190967767
394,2048.7772748827783
