,Outlet_Identifier
0,OUT049
1,OUT017
2,OUT010
3,OUT017
4,OUT027
5,OUT046
6,OUT018
7,OUT027
8,OUT045
9,OUT017
10,OUT017
11,OUT045
12,OUT019
13,OUT049
14,OUT013
15,OUT049
16,OUT045
17,OUT018
18,OUT027
19,OUT010
20,OUT013
21,OUT035
22,OUT046
23,OUT019
24,OUT035
25,OUT010
26,OUT035
27,OUT046
28,OUT046
29,OUT035
30,OUT019
31,OUT018
32,OUT018
33,OUT027
34,OUT017
35,OUT027
36,OUT027
37,OUT010
38,OUT017
39,OUT027
40,OUT018
41,OUT010
42,OUT017
43,OUT018
44,OUT010
45,OUT013
46,OUT010
47,OUT035
48,OUT035
49,OUT046
50,OUT046
51,OUT013
52,OUT017
53,OUT017
54,OUT027
55,OUT049
56,OUT013
57,OUT013
58,OUT019
59,OUT045
60,OUT035
61,OUT017
62,OUT027
63,OUT017
64,OUT045
65,OUT027
66,OUT017
67,OUT046
68,OUT013
69,OUT045
70,OUT049
71,OUT027
72,OUT018
73,OUT049
74,OUT045
75,OUT045
76,OUT019
77,OUT046
78,OUT019
79,OUT013
80,OUT035
81,OUT018
82,OUT046
83,OUT013
84,OUT017
85,OUT035
86,OUT046
87,OUT046
88,OUT045
89,OUT010
90,OUT045
91,OUT027
92,OUT027
93,OUT018
94,OUT013
95,OUT046
96,OUT017
97,OUT018
98,OUT045
99,OUT013
100,OUT018
101,OUT017
102,OUT017
103,OUT046
104,OUT019
105,OUT027
106,OUT019
107,OUT049
108,OUT027
109,OUT018
110,OUT010
111,OUT046
112,OUT010
113,OUT027
114,OUT035
115,OUT027
116,OUT046
117,OUT013
118,OUT035
119,OUT045
120,OUT027
121,OUT017
122,OUT035
123,OUT049
124,OUT018
125,OUT027
126,OUT045
127,OUT018
128,OUT018
129,OUT013
130,OUT018
131,OUT013
132,OUT035
133,OUT010
134,OUT049
135,OUT019
136,OUT018
137,OUT049
138,OUT019
139,OUT013
140,OUT010
141,OUT046
142,OUT049
143,OUT035
144,OUT035
145,OUT045
146,OUT035
147,OUT027
148,OUT017
149,OUT027
150,OUT049
151,OUT045
152,OUT010
153,OUT035
154,OUT018
155,OUT013
156,OUT018
157,OUT049
158,OUT045
159,OUT049
160,OUT017
161,OUT035
162,OUT013
163,OUT046
164,OUT049
165,OUT010
166,OUT027
167,OUT049
168,OUT045
169,OUT010
170,OUT045
171,OUT017
172,OUT010
173,OUT010
174,OUT017
175,OUT018
176,OUT027
177,OUT027
178,OUT027
179,OUT027
180,OUT035
181,OUT018
182,OUT035
