Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1621.8949
FDW14,OUT017,1294.6921
NCN55,OUT010,9.963693
FDQ58,OUT017,2636.066
FDY38,OUT027,6051.008
FDH56,OUT046,2068.6897
FDL48,OUT018,614.7701
FDC48,OUT027,1885.3324
FDN33,OUT045,1512.0164
FDA36,OUT017,2587.53
FDT44,OUT017,2069.6936
FDQ56,OUT045,1353.403
NCC54,OUT019,494.02008
FDU11,OUT049,2481.0017
DRL59,OUT013,768.79486
FDM24,OUT049,2220.7632
FDI57,OUT045,3430.43
DRC12,OUT018,3328.73
NCM42,OUT027,2547.1072
FDA46,OUT010,544.48016
FDA31,OUT013,3101.725
NCJ31,OUT035,3422.7544
FDG52,OUT046,753.1851
NCL19,OUT019,356.95755
FDS10,OUT035,3372.29
FDX22,OUT010,936.16614
NCF19,OUT035,794.9396
NCE06,OUT046,2390.5496
DRC27,OUT046,3182.2036
FDE21,OUT035,2066.2979
NCR42,OUT019,82.435936
FDX51,OUT018,2870.6506
NCR06,OUT018,540.23224
FDU31,OUT027,5041.39
FDU59,OUT017,2782.1448
FDR03,OUT027,6532.1685
FDS49,OUT027,2043.6179
FDD48,OUT010,384.9388
NCF18,OUT017,3324.1973
NCD43,OUT027,2584.6702
NCD54,OUT018,1390.0063
FDY19,OUT010,340.7769
NCY54,OUT017,3235.1934
NCL19,OUT018,2096.2014
FDP23,OUT010,881.88904
FDC26,OUT013,1707.5669
FDR14,OUT010,228.65279
NCS41,OUT035,3436.071
FDF41,OUT035,3328.9302
FDU34,OUT046,2252.0273
DRH11,OUT046,825.46594
FDM03,OUT013,1943.6644
FDS31,OUT017,3334.979
FDJ20,OUT017,2053.5916
FDV44,OUT027,4891.8516
FDG02,OUT049,3317.3438
FDA09,OUT013,3272.4119
FDT04,OUT013,676.9986
FDL58,OUT019,-529.2729
FDE52,OUT045,1295.5765
FDW12,OUT035,2502.083
FDL51,OUT017,3316.0688
NCY42,OUT027,2890.7607
FDR07,OUT017,1790.4467
FDN40,OUT045,2193.6511
FDB35,OUT027,2670.861
FDA22,OUT017,2951.0923
NCL06,OUT046,3027.3599
FDI35,OUT013,3656.0583
NCW42,OUT045,3263.9602
NCX06,OUT049,3256.7556
FDC37,OUT027,2662.559
FDZ14,OUT018,1478.5604
DRG49,OUT049,4511.169
NCG06,OUT045,3463.381
DRC36,OUT045,2983.7634
FDV21,OUT019,345.6799
FDB53,OUT046,2549.5288
DRP47,OUT019,522.18463
FDA14,OUT013,2344.8672
DRC24,OUT035,2470.4336
FDW21,OUT018,1402.072
NCH29,OUT046,1578.7965
FDU58,OUT013,3184.9182
FDY27,OUT017,2958.8096
FDV56,OUT035,1867.7388
FDT59,OUT046,3754.4949
FDB23,OUT046,3726.5361
FDR49,OUT045,719.42633
FDB03,OUT010,410.07013
FDN39,OUT045,2816.9343
