Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1731.696262915594
FDW14,OUT017,1542.0625443144556
NCN55,OUT010,2211.6397943768548
FDQ58,OUT017,2684.866310101287
FDY38,OUT027,4000.4527404243718
FDH56,OUT046,1811.8236472258347
FDL48,OUT018,600.0536875477493
FDC48,OUT027,1843.347295182609
FDN33,OUT045,1525.8340722579974
FDA36,OUT017,3250.5590729285555
FDT44,OUT017,1879.3954924189788
FDQ56,OUT045,1236.3773473710037
NCC54,OUT019,3981.7684402304762
FDU11,OUT049,2230.1239182831987
DRL59,OUT013,991.118897041624
FDM24,OUT049,2543.352016686327
FDI57,OUT045,3186.354415922689
DRC12,OUT018,2897.1165523723907
NCM42,OUT027,2093.5276920708293
FDA46,OUT010,386.7183757362828
FDA31,OUT013,2683.630877742012
NCJ31,OUT035,3712.6222027199074
FDG52,OUT046,921.2219966829041
NCL19,OUT019,2382.641875781055
FDS10,OUT035,2979.033488210703
FDX22,OUT010,1818.6679577275754
NCF19,OUT035,1005.1845790522842
NCE06,OUT046,2616.463910773866
DRC27,OUT046,3841.701140087897
FDE21,OUT035,2063.1268185662993
NCR42,OUT019,1026.3724344973086
FDX51,OUT018,2943.530695012355
NCR06,OUT018,406.5442808960524
FDU31,OUT027,3417.309032682699
FDU59,OUT017,2722.17762925925
FDR03,OUT027,3704.870064436767
FDS49,OUT027,1773.450394823889
FDD48,OUT010,272.27588328298197
NCF18,OUT017,3293.261276383971
NCD43,OUT027,2132.8040200696028
NCD54,OUT018,1291.658848067124
FDY19,OUT010,340.8306211381526
NCY54,OUT017,2704.575045259352
NCL19,OUT018,2461.4063308028853
FDP23,OUT010,1403.726002528775
FDC26,OUT013,1721.3100654576447
FDR14,OUT010,-1798.912993838526
NCS41,OUT035,3165.313746660672
FDF41,OUT035,3851.9301030392626
FDU34,OUT046,1977.1613474251533
DRH11,OUT046,940.9419663589931
FDM03,OUT013,1528.978844091568
FDS31,OUT017,2921.452939464188
FDJ20,OUT017,1916.6689316459867
FDV44,OUT027,3533.6352943863603
FDG02,OUT049,3178.9416798723146
FDA09,OUT013,2911.761494254035
FDT04,OUT013,544.8158673539447
FDL58,OUT019,3787.0463085084702
FDE52,OUT045,1433.204053995501
FDW12,OUT035,2737.1307988315602
FDL51,OUT017,3083.444431784423
NCY42,OUT027,2421.9182037798278
FDR07,OUT017,2362.0398009530013
FDN40,OUT045,2506.110919423613
FDB35,OUT027,1697.7578423275281
FDA22,OUT017,2734.5512005240266
NCL06,OUT046,3909.4523583897276
FDI35,OUT013,2932.82929284246
NCW42,OUT045,3712.961594363037
NCX06,OUT049,3006.201946270376
FDC37,OUT027,2093.5276920708293
FDZ14,OUT018,1688.542585020571
DRG49,OUT049,3899.1183095374518
NCG06,OUT045,3979.782475533365
DRC36,OUT045,2812.5944491452333
FDV21,OUT019,728.0804369890843
FDB53,OUT046,2310.651714500538
DRP47,OUT019,2835.9370064212553
FDA14,OUT013,2577.4756639658185
DRC24,OUT035,2638.452167461324
FDW21,OUT018,1595.4146050292104
NCH29,OUT046,1878.1411896356485
FDU58,OUT013,3165.9131530315963
FDY27,OUT017,2986.1713028518925
FDV56,OUT035,1862.8231790889752
FDT59,OUT046,3921.205342168829
FDB23,OUT046,3801.351692464491
FDR49,OUT045,614.7298311407877
FDB03,OUT010,789.3592008042826
FDN39,OUT045,2556.3413062024993
FDX02,OUT027,4090.966322192562
FDQ16,OUT027,2093.5276920708293
FDU35,OUT018,1433.5261923381045
NCT29,OUT013,1908.6066095699825
FDZ27,OUT046,938.7471885656737
FDN57,OUT017,2007.1825134141766
FDA03,OUT018,2297.9021162992663
FDZ36,OUT045,3132.1478088380786
NCU05,OUT013,1330.0357009727636
FDT39,OUT018,2257.1496790106908
FDK60,OUT017,1912.6631971855807
FDZ25,OUT017,2886.0391251672527
FDG12,OUT046,1993.8519358378664
DRB01,OUT019,3252.0390367938185
NCC43,OUT027,4424.307003009367
FDX13,OUT019,4364.914211141239
FDM22,OUT049,1058.0305726240329
FDJ03,OUT027,1236.5724295617176
FDU14,OUT018,3737.948242898792
FDB33,OUT010,1041.0061126816427
