,Item_Identifier
0,FDW58
1,FDW14
2,NCN55
3,FDQ58
4,FDY38
5,FDH56
6,FDL48
7,FDC48
8,FDN33
9,FDA36
10,FDT44
11,FDQ56
12,NCC54
13,FDU11
14,DRL59
15,FDM24
16,FDI57
17,DRC12
18,NCM42
19,FDA46
20,FDA31
21,NCJ31
22,FDG52
23,NCL19
24,FDS10
25,FDX22
26,NCF19
27,NCE06
28,DRC27
29,FDE21
30,NCR42
31,FDX51
32,NCR06
33,FDU31
34,FDU59
35,FDR03
36,FDS49
37,FDD48
38,NCF18
39,NCD43
40,NCD54
41,FDY19
42,NCY54
43,NCL19
44,FDP23
45,FDC26
46,FDR14
47,NCS41
48,FDF41
49,FDU34
50,DRH11
51,FDM03
52,FDS31
53,FDJ20
54,FDV44
55,FDG02
56,FDA09
57,FDT04
58,FDL58
59,FDE52
60,FDW12
61,FDL51
62,NCY42
63,FDR07
64,FDN40
65,FDB35
66,FDA22
67,NCL06
68,FDI35
69,NCW42
70,NCX06
71,FDC37
72,FDZ14
73,DRG49
74,NCG06
75,DRC36
76,FDV21
77,FDB53
78,DRP47
79,FDA14
80,DRC24
81,FDW21
82,NCH29
83,FDU58
84,FDY27
85,FDV56
86,FDT59
87,FDB23
88,FDR49
89,FDB03
90,FDN39
91,FDX02
92,FDQ16
93,FDU35
94,NCT29
95,FDZ27
96,FDN57
97,FDA03
98,FDZ36
99,NCU05
100,FDT39
101,FDK60
102,FDZ25
103,FDG12
104,DRB01
105,NCC43
106,FDX13
107,FDM22
108,FDJ03
109,FDU14
110,FDB33
111,FDP27
112,FDO38
113,FDE28
114,FDO27
115,DRL23
116,FDS28
117,FDX24
118,FDZ02
119,FDL46
120,FDS60
121,NCO06
122,FDO16
123,FDC60
124,FDA48
125,FDZ36
126,FDK27
127,FDW23
128,FDM14
129,FDM14
130,FDW60
131,FDE21
132,NCM42
133,FDY59
134,DRI49
135,FDT28
136,FDQ22
137,FDR60
138,FDC50
139,FDV24
140,DRF48
141,FDQ47
142,DRN36
143,NCY06
144,FDE52
145,NCB54
146,NCF31
147,FDJ08
148,NCC07
149,NCD19
150,FDL46
151,FDM20
152,NCI06
153,DRM11
154,NCH07
155,FDS23
156,FDO49
157,FDS35
158,DRK39
159,DRI39
160,FDV04
161,NCN14
162,FDH08
163,FDS20
164,FDV40
165,FDZ48
166,FDS24
167,FDK44
168,FDS48
169,FDK26
170,FDD23
171,NCH54
172,NCP14
173,FDM60
174,FDV24
175,FDH08
176,FDS12
177,FDR39
178,FDP12
179,DRF60
180,FDC09
181,FDF50
182,FDG28
183,NCE19
184,NCM53
185,NCN18
186,FDF32
187,FDF11
188,DRI59
189,NCG54
190,FDM44
191,FDT57
192,FDV24
193,FDI50
194,FDS09
195,NCC31
196,FDQ07
197,FDC22
198,FDZ56
199,FDZ40
200,FDS46
201,DRD24
202,FDV45
203,FDL26
204,FDA56
205,FDN27
206,FDM20
207,FDO16
208,FDL03
209,FDE58
210,FDI02
211,NCC55
212,FDR03
213,FDB14
214,FDR45
215,NCN07
216,FDM51
217,FDT52
218,FDL26
219,NCZ42
220,DRI47
221,FDW40
222,FDN34
223,FDS01
224,NCG55
225,FDC11
226,FDX35
227,NCB06
228,FDR09
229,FDC53
230,FDY45
231,FDA22
232,FDE02
233,FDW21
234,FDV34
235,FDS59
236,NCW17
237,NCK54
238,FDG17
239,FDG35
240,FDD08
241,NCO07
242,FDJ10
243,FDW36
244,FDW21
245,FDY19
246,DRE03
247,NCC55
248,FDH52
249,FDO09
250,FDU43
251,FDX09
252,FDH40
253,FDW58
254,FDC47
255,NCR41
256,DRG49
257,FDC52
258,FDY13
259,FDY35
260,FDI35
261,NCU18
262,FDY33
263,FDC15
264,FDU01
265,NCU42
266,NCV29
267,NCY30
268,FDQ46
269,FDG58
270,FDK33
271,NCD07
272,NCX29
273,NCT42
274,DRN59
275,FDI44
276,FDA45
277,FDP31
278,FDY01
279,FDT09
280,DRH03
281,FDA36
282,NCF31
283,FDG14
284,FDG28
285,FDU14
286,FDY47
287,FDI56
288,DRD01
289,FDM22
290,FDH33
291,DRZ24
292,NCQ38
293,FDO16
294,FDU07
295,NCB07
296,FDU48
297,NCM43
298,FDR31
299,DRK49
300,NCI30
301,DRD60
302,NCG19
303,FDH12
304,FDM32
305,FDM27
306,NCU53
307,NCQ18
308,FDS10
309,FDB33
310,FDI12
311,NCW42
312,NCC06
313,FDW02
314,NCD43
315,FDM57
316,FDA58
317,FDK56
318,FDP52
319,FDW20
320,FDS52
321,NCT29
322,NCL54
323,FDC05
324,FDF34
325,FDP03
326,FDD32
327,FDZ10
328,FDZ40
329,FDD51
330,NCY30
331,FDP58
332,FDV49
333,FDY24
334,NCO55
335,FDR13
336,FDS51
337,FDP26
338,NCB54
339,FDF32
340,FDN31
341,DRM48
342,FDN20
343,DRL01
344,FDV56
345,DRH13
346,FDA03
347,FDF47
348,FDX32
349,FDX57
350,NCA30
351,FDO49
352,FDL04
353,DRM48
354,FDR16
355,NCC19
356,NCE42
357,FDY24
358,FDH19
359,FDJ46
360,FDN45
361,FDY08
362,FDZ37
363,NCT30
364,DRY23
365,NCZ30
366,FDC44
367,FDB45
368,FDY04
369,FDM27
370,FDZ43
371,FDT39
372,NCC06
373,FDL15
374,FDL57
375,FDU08
376,FDK40
377,FDQ12
378,FDS48
379,FDP09
380,FDW21
381,FDY25
382,DRE13
383,FDV43
384,FDD22
385,FDM46
386,NCO30
387,FDM25
388,NCN41
389,FDU24
390,FDZ50
391,FDP45
392,NCM54
393,FDW10
394,FDP20
395,FDK32
396,FDN52
397,FDM58
398,FDZ46
399,NCA18
400,FDD35
401,NCK31
402,FDI40
403,FDT50
404,NCT06
405,FDT31
406,FDT45
407,FDT13
408,FDO50
409,NCU18
410,NCR54
411,NCO18
412,FDU09
413,FDT13
414,FDE09
415,NCK53
416,FDG45
417,DRH15
418,FDO21
419,FDD14
420,FDC09
421,FDH45
422,FDV32
423,FDG12
424,FDS32
425,NCL55
426,DRE01
427,DRE15
428,NCL42
429,FDP31
430,FDN33
431,FDZ59
432,FDE45
433,FDJ07
434,FDQ45
435,FDM33
436,FDO15
437,FDM46
438,FDR03
439,FDY49
440,FDQ60
441,FDW10
442,FDO51
443,FDJ40
444,FDS20
445,FDU45
446,FDV02
447,FDN09
448,NCM55
449,FDN23
450,FDY31
451,FDW03
452,FDD14
453,FDV23
454,DRI03
455,FDN13
456,FDF45
457,FDU46
458,FDB57
459,FDV12
460,FDQ58
461,NCA18
462,FDH52
463,FDM24
464,NCP43
465,NCO18
466,FDM32
467,NCL07
468,FDK03
469,FDP59
470,FDQ24
471,FDQ16
472,FDU44
473,FDH28
474,FDV28
475,FDM22
476,FDR56
477,FDV39
478,FDU37
479,FDQ11
480,FDX02
481,NCS42
482,FDY57
483,FDB21
484,FDE28
485,FDQ55
486,FDA48
487,FDZ19
488,NCC43
489,NCV18
490,NCA42
491,FDY45
492,NCC30
493,FDM57
494,FDL09
495,FDB09
496,FDT44
497,NCT06
498,FDX26
499,FDK32
500,DRA12
501,FDO46
502,FDE52
503,NCH42
504,FDV08
505,FDB47
506,FDC28
507,FDD22
508,FDS07
